--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'name': 'svchost.exe', 'pid': 3032, 'username': None, 'vms': 5.43359375}
{'name': 'EMON.EXE', 'pid': 3044, 'username': None, 'vms': 8.921875}
{'name': 'chrome.exe', 'pid': 3096, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 94.57421875}
{'name': 'svchost.exe', 'pid': 3128, 'username': None, 'vms': 2.23828125}
{'name': 'svchost.exe', 'pid': 3188, 'username': None, 'vms': 7.140625}
{'name': 'chrome.exe', 'pid': 3276, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 100.625}
{'name': 'chrome.exe', 'pid': 3376, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 71.92578125}
{'name': 'nvxdsync.exe', 'pid': 3468, 'username': None, 'vms': 12.984375}
{'name': 'chrome.exe', 'pid': 3480, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 34.484375}
{'name': 'svchost.exe', 'pid': 3752, 'username': None, 'vms': 3.35546875}
{'name': 'chrome.exe', 'pid': 3788, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 39.29296875}
{'name': 'armsvc.exe', 'pid': 3816, 'username': None, 'vms': 2.69921875}
{'name': 'AdminService.exe', 'pid': 3824, 'username': None, 'vms': 4.62109375}
{'name': 'AGMService.exe', 'pid': 3832, 'username': None, 'vms': 2.375}
{'name': 'IntelCpHDCPSvc.exe', 'pid': 3852, 'username': None, 'vms': 1.3515625}
{'name': 'AGSService.exe', 'pid': 3872, 'username': None, 'vms': 1.88671875}
{'name': 'CxUtilSvc.exe', 'pid': 3880, 'username': None, 'vms': 1.40234375}
{'name': 'CxAudMsg64.exe', 'pid': 3892, 'username': None, 'vms': 1.86328125}
{'name': 'svchost.exe', 'pid': 3928, 'username': None, 'vms': 3.96875}
{'name': 'svchost.exe', 'pid': 3940, 'username': None, 'vms': 8.93359375}
{'name': 'ZVMonNt.exe', 'pid': 3960, 'username': None, 'vms': 29.66796875}
{'name': 'chrome.exe', 'pid': 3996, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 24.7578125}
{'name': 'svchost.exe', 'pid': 4124, 'username': None, 'vms': 2.515625}
{'name': 'svchost.exe', 'pid': 4132, 'username': None, 'vms': 1.63671875}
{'name': 'WEBPROT.EXE', 'pid': 4140, 'username': None, 'vms': 12.45703125}
{'name': 'SecurityHealthService.exe', 'pid': 4148, 'username': None, 'vms': 4.02734375}
{'name': 'svchost.exe', 'pid': 4156, 'username': None, 'vms': 27.49609375}
{'name': 'svchost.exe', 'pid': 4164, 'username': None, 'vms': 1.52734375}
{'name': 'ETDService.exe', 'pid': 4172, 'username': None, 'vms': 1.06640625}
{'name': 'IpOverUsbSvc.exe', 'pid': 4188, 'username': None, 'vms': 7.74609375}
{'name': 'SASrv.exe', 'pid': 4196, 'username': None, 'vms': 1.33984375}
{'name': 'Ext2Srv.exe', 'pid': 4204, 'username': None, 'vms': 1.171875}
{'name': 'python.exe', 'pid': 4216, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 11.41015625}
{'name': 'sqlwriter.exe', 'pid': 4224, 'username': None, 'vms': 1.59765625}
{'name': 'NPProt.exe', 'pid': 4236, 'username': None, 'vms': 0.9921875}
{'name': 'SkypeBackgroundHost.exe', 'pid': 4244, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 1.7734375}
{'name': 'TeamViewer_Service.exe', 'pid': 4256, 'username': None, 'vms': 6.46484375}
{'name': 'ETDCtrlHelper.exe', 'pid': 4276, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.8125}
{'name': 'ETDIntelligent.exe', 'pid': 4284, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 2.171875}
{'name': 'svchost.exe', 'pid': 4292, 'username': None, 'vms': 1.890625}
{'name': 'chrome.exe', 'pid': 4364, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 79.45703125}
{'name': 'CoreSync.exe', 'pid': 4372, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 17.33984375}
{'name': 'chrome.exe', 'pid': 4496, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 18.8203125}
{'name': 'svchost.exe', 'pid': 4512, 'username': None, 'vms': 4.703125}
{'name': 'svchost.exe', 'pid': 4532, 'username': None, 'vms': 2.21484375}
{'name': 'svchost.exe', 'pid': 4536, 'username': None, 'vms': 1.21875}
{'name': 'svchost.exe', 'pid': 4596, 'username': None, 'vms': 3.75}
{'name': 'chrome.exe', 'pid': 4652, 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 23.5}
{'name': 'svchost.exe', 'pid': 4720, 'username': None, 'vms': 2.26953125}
{'name': 'svchost.exe', 'pid': 4788, 'username': None, 'vms': 1.5625}
{'name': 'IntelCpHeciSvc.exe', 'pid': 4828, 'username': None, 'vms': 1.33984375}
{'name': 'svchost.exe', 'pid': 4996, 'username': None, 'vms': 1.55859375}
