--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05078125}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.41796875}
{'pid': 104, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'cmd.exe', 'vms': 2.2109375}
{'pid': 224, 'username': None, 'name': 'WmiPrvSE.exe', 'vms': 3.5546875}
{'pid': 344, 'username': None, 'name': 'winlogon.exe', 'vms': 2.3515625}
{'pid': 372, 'username': None, 'name': 'smss.exe', 'vms': 0.4453125}
{'pid': 504, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 4.1484375}
{'pid': 552, 'username': None, 'name': 'csrss.exe', 'vms': 1.828125}
{'pid': 584, 'username': None, 'name': 'WUDFHost.exe', 'vms': 1.8125}
{'pid': 660, 'username': None, 'name': 'svchost.exe', 'vms': 7.1484375}
{'pid': 664, 'username': None, 'name': 'wininit.exe', 'vms': 1.2578125}
{'pid': 680, 'username': None, 'name': 'csrss.exe', 'vms': 2.33984375}
{'pid': 736, 'username': None, 'name': 'services.exe', 'vms': 5.171875}
{'pid': 780, 'username': None, 'name': 'lsass.exe', 'vms': 6.2890625}
{'pid': 824, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'LockApp.exe', 'vms': 14.40625}
{'pid': 892, 'username': None, 'name': 'svchost.exe', 'vms': 0.91015625}
{'pid': 916, 'username': None, 'name': 'svchost.exe', 'vms': 11.3828125}
{'pid': 936, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.83203125}
{'pid': 984, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe', 'vms': 8.8828125}
{'pid': 1056, 'username': None, 'name': 'dasHost.exe', 'vms': 3.32421875}
{'pid': 1060, 'username': None, 'name': 'svchost.exe', 'vms': 2.58203125}
{'pid': 1136, 'username': None, 'name': 'svchost.exe', 'vms': 4.79296875}
{'pid': 1156, 'username': None, 'name': 'dwm.exe', 'vms': 68.015625}
{'pid': 1220, 'username': None, 'name': 'svchost.exe', 'vms': 1.9921875}
{'pid': 1272, 'username': None, 'name': 'svchost.exe', 'vms': 3.51953125}
{'pid': 1320, 'username': None, 'name': 'svchost.exe', 'vms': 2.41015625}
{'pid': 1328, 'username': None, 'name': 'svchost.exe', 'vms': 7.890625}
{'pid': 1384, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe', 'vms': 6.3359375}
{'pid': 1440, 'username': None, 'name': 'svchost.exe', 'vms': 5.8984375}
{'pid': 1448, 'username': None, 'name': 'svchost.exe', 'vms': 13.54296875}
{'pid': 1508, 'username': None, 'name': 'svchost.exe', 'vms': 2.109375}
{'pid': 1588, 'username': None, 'name': 'svchost.exe', 'vms': 2.52734375}
