--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System Idle Process', 'vms': 0.05078125}
{'pid': 4, 'username': 'NT AUTHORITY\\SYSTEM', 'name': 'System', 'vms': 0.41796875}
{'pid': 104, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'cmd.exe', 'vms': 2.14453125}
{'pid': 344, 'username': None, 'name': 'winlogon.exe', 'vms': 2.27734375}
{'pid': 372, 'username': None, 'name': 'smss.exe', 'vms': 0.4453125}
{'pid': 504, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 4.1484375}
{'pid': 552, 'username': None, 'name': 'csrss.exe', 'vms': 1.828125}
{'pid': 584, 'username': None, 'name': 'WUDFHost.exe', 'vms': 1.84765625}
{'pid': 660, 'username': None, 'name': 'svchost.exe', 'vms': 7.28515625}
{'pid': 664, 'username': None, 'name': 'wininit.exe', 'vms': 1.2578125}
{'pid': 680, 'username': None, 'name': 'csrss.exe', 'vms': 2.33984375}
{'pid': 736, 'username': None, 'name': 'services.exe', 'vms': 5.27734375}
{'pid': 780, 'username': None, 'name': 'lsass.exe', 'vms': 6.27734375}
{'pid': 824, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'LockApp.exe', 'vms': 14.40625}
{'pid': 892, 'username': None, 'name': 'svchost.exe', 'vms': 0.91015625}
{'pid': 916, 'username': None, 'name': 'svchost.exe', 'vms': 11.4375}
{'pid': 936, 'username': None, 'name': 'fontdrvhost.exe', 'vms': 1.83203125}
{'pid': 984, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe', 'vms': 8.8828125}
{'pid': 1056, 'username': None, 'name': 'dasHost.exe', 'vms': 3.33203125}
{'pid': 1060, 'username': None, 'name': 'svchost.exe', 'vms': 2.515625}
{'pid': 1136, 'username': None, 'name': 'svchost.exe', 'vms': 4.94140625}
{'pid': 1156, 'username': None, 'name': 'dwm.exe', 'vms': 67.71484375}
{'pid': 1220, 'username': None, 'name': 'svchost.exe', 'vms': 1.9375}
{'pid': 1272, 'username': None, 'name': 'svchost.exe', 'vms': 3.4609375}
{'pid': 1320, 'username': None, 'name': 'svchost.exe', 'vms': 2.421875}
{'pid': 1328, 'username': None, 'name': 'svchost.exe', 'vms': 7.94140625}
{'pid': 1384, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe', 'vms': 6.6875}
{'pid': 1440, 'username': None, 'name': 'svchost.exe', 'vms': 6.08203125}
{'pid': 1448, 'username': None, 'name': 'svchost.exe', 'vms': 13.8515625}
{'pid': 1508, 'username': None, 'name': 'svchost.exe', 'vms': 2.109375}
{'pid': 1588, 'username': None, 'name': 'svchost.exe', 'vms': 2.4375}
{'pid': 1616, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'RuntimeBroker.exe', 'vms': 7.25390625}
{'pid': 1648, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'Explorer.exe', 'vms': 55.9453125}
{'pid': 1672, 'username': None, 'name': 'svchost.exe', 'vms': 1.6796875}
{'pid': 1724, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 22.8515625}
{'pid': 1740, 'username': None, 'name': 'svchost.exe', 'vms': 2.171875}
{'pid': 1760, 'username': None, 'name': 'svchost.exe', 'vms': 4.34765625}
{'pid': 1860, 'username': None, 'name': 'svchost.exe', 'vms': 2.30078125}
{'pid': 1884, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'NPAV4.EXE', 'vms': 3.4921875}
{'pid': 1940, 'username': None, 'name': 'svchost.exe', 'vms': 1.546875}
{'pid': 1948, 'username': None, 'name': 'svchost.exe', 'vms': 1.90625}
{'pid': 1956, 'username': None, 'name': 'svchost.exe', 'vms': 1.81640625}
{'pid': 1984, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'SmartAudio.exe', 'vms': 56.140625}
{'pid': 2068, 'username': None, 'name': 'NVDisplay.Container.exe', 'vms': 2.546875}
{'pid': 2080, 'username': None, 'name': 'svchost.exe', 'vms': 1.921875}
{'pid': 2100, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'cmd.exe', 'vms': 2.0859375}
{'pid': 2120, 'username': None, 'name': 'NPAVIDS.EXE', 'vms': 3.1171875}
{'pid': 2128, 'username': None, 'name': 'svchost.exe', 'vms': 2.66796875}
{'pid': 2132, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 70.25390625}
{'pid': 2172, 'username': None, 'name': 'svchost.exe', 'vms': 3.1875}
{'pid': 2184, 'username': None, 'name': 'svchost.exe', 'vms': 2.1953125}
{'pid': 2204, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 80.54296875}
{'pid': 2304, 'username': None, 'name': 'svchost.exe', 'vms': 83.30859375}
{'pid': 2312, 'username': None, 'name': 'svchost.exe', 'vms': 1.296875}
{'pid': 2320, 'username': None, 'name': 'svchost.exe', 'vms': 2.0}
{'pid': 2384, 'username': None, 'name': 'Memory Compression', 'vms': 0.921875}
{'pid': 2456, 'username': None, 'name': 'svchost.exe', 'vms': 2.16796875}
{'pid': 2484, 'username': None, 'name': 'spoolsv.exe', 'vms': 5.84375}
{'pid': 2492, 'username': None, 'name': 'igfxCUIService.exe', 'vms': 1.6796875}
{'pid': 2548, 'username': None, 'name': 'svchost.exe', 'vms': 1.80859375}
{'pid': 2556, 'username': None, 'name': 'svchost.exe', 'vms': 1.6953125}
{'pid': 2652, 'username': None, 'name': 'svchost.exe', 'vms': 2.83203125}
{'pid': 2712, 'username': None, 'name': 'svchost.exe', 'vms': 1.92578125}
{'pid': 2716, 'username': None, 'name': 'svchost.exe', 'vms': 3.3984375}
{'pid': 2736, 'username': None, 'name': 'svchost.exe', 'vms': 1.6484375}
{'pid': 2744, 'username': None, 'name': 'svchost.exe', 'vms': 3.90234375}
{'pid': 2756, 'username': None, 'name': 'svchost.exe', 'vms': 3.65234375}
{'pid': 2876, 'username': None, 'name': 'svchost.exe', 'vms': 1.8671875}
{'pid': 2940, 'username': None, 'name': 'svchost.exe', 'vms': 3.6640625}
{'pid': 2960, 'username': None, 'name': 'svchost.exe', 'vms': 35.9765625}
{'pid': 3032, 'username': None, 'name': 'svchost.exe', 'vms': 5.37890625}
{'pid': 3044, 'username': None, 'name': 'EMON.EXE', 'vms': 8.921875}
{'pid': 3096, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 94.57421875}
{'pid': 3128, 'username': None, 'name': 'svchost.exe', 'vms': 2.23828125}
{'pid': 3188, 'username': None, 'name': 'svchost.exe', 'vms': 7.0859375}
{'pid': 3276, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 132.6328125}
{'pid': 3376, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 71.92578125}
{'pid': 3468, 'username': None, 'name': 'nvxdsync.exe', 'vms': 13.01953125}
{'pid': 3480, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 35.9921875}
{'pid': 3752, 'username': None, 'name': 'svchost.exe', 'vms': 3.35546875}
{'pid': 3788, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 38.140625}
{'pid': 3816, 'username': None, 'name': 'armsvc.exe', 'vms': 2.69921875}
{'pid': 3824, 'username': None, 'name': 'AdminService.exe', 'vms': 4.62109375}
{'pid': 3832, 'username': None, 'name': 'AGMService.exe', 'vms': 2.375}
{'pid': 3852, 'username': None, 'name': 'IntelCpHDCPSvc.exe', 'vms': 1.3515625}
{'pid': 3872, 'username': None, 'name': 'AGSService.exe', 'vms': 1.88671875}
{'pid': 3880, 'username': None, 'name': 'CxUtilSvc.exe', 'vms': 1.40234375}
{'pid': 3892, 'username': None, 'name': 'CxAudMsg64.exe', 'vms': 1.86328125}
{'pid': 3928, 'username': None, 'name': 'svchost.exe', 'vms': 4.078125}
{'pid': 3940, 'username': None, 'name': 'svchost.exe', 'vms': 9.0390625}
{'pid': 3960, 'username': None, 'name': 'ZVMonNt.exe', 'vms': 29.34375}
{'pid': 3996, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 24.98828125}
{'pid': 4124, 'username': None, 'name': 'svchost.exe', 'vms': 2.515625}
{'pid': 4132, 'username': None, 'name': 'svchost.exe', 'vms': 1.63671875}
{'pid': 4140, 'username': None, 'name': 'WEBPROT.EXE', 'vms': 12.52734375}
{'pid': 4148, 'username': None, 'name': 'SecurityHealthService.exe', 'vms': 4.02734375}
{'pid': 4156, 'username': None, 'name': 'svchost.exe', 'vms': 26.87890625}
{'pid': 4164, 'username': None, 'name': 'svchost.exe', 'vms': 1.52734375}
{'pid': 4172, 'username': None, 'name': 'ETDService.exe', 'vms': 1.06640625}
{'pid': 4188, 'username': None, 'name': 'IpOverUsbSvc.exe', 'vms': 7.74609375}
{'pid': 4196, 'username': None, 'name': 'SASrv.exe', 'vms': 1.33984375}
{'pid': 4204, 'username': None, 'name': 'Ext2Srv.exe', 'vms': 1.171875}
{'pid': 4224, 'username': None, 'name': 'sqlwriter.exe', 'vms': 1.59765625}
{'pid': 4236, 'username': None, 'name': 'NPProt.exe', 'vms': 0.9921875}
{'pid': 4244, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'SkypeBackgroundHost.exe', 'vms': 1.7734375}
{'pid': 4256, 'username': None, 'name': 'TeamViewer_Service.exe', 'vms': 6.53515625}
{'pid': 4276, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ETDCtrlHelper.exe', 'vms': 2.8125}
{'pid': 4284, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ETDIntelligent.exe', 'vms': 2.171875}
{'pid': 4292, 'username': None, 'name': 'svchost.exe', 'vms': 1.890625}
{'pid': 4364, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 79.45703125}
{'pid': 4372, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'CoreSync.exe', 'vms': 17.33984375}
{'pid': 4496, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 18.8046875}
{'pid': 4512, 'username': None, 'name': 'svchost.exe', 'vms': 4.7734375}
{'pid': 4532, 'username': None, 'name': 'svchost.exe', 'vms': 2.21484375}
{'pid': 4536, 'username': None, 'name': 'svchost.exe', 'vms': 1.21875}
{'pid': 4596, 'username': None, 'name': 'svchost.exe', 'vms': 3.75}
{'pid': 4652, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 23.5}
{'pid': 4720, 'username': None, 'name': 'svchost.exe', 'vms': 2.26953125}
{'pid': 4788, 'username': None, 'name': 'svchost.exe', 'vms': 1.5625}
{'pid': 4828, 'username': None, 'name': 'IntelCpHeciSvc.exe', 'vms': 1.33984375}
{'pid': 4996, 'username': None, 'name': 'svchost.exe', 'vms': 1.61328125}
{'pid': 5036, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'figma_agent.exe', 'vms': 4.01171875}
{'pid': 5144, 'username': None, 'name': 'ZVCMD64.EXE', 'vms': 0.796875}
{'pid': 5580, 'username': None, 'name': 'unsecapp.exe', 'vms': 1.265625}
{'pid': 5636, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 1.83984375}
{'pid': 5724, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 21.078125}
{'pid': 5788, 'username': None, 'name': 'svchost.exe', 'vms': 1.3984375}
{'pid': 5856, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 22.1953125}
{'pid': 6300, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'conhost.exe', 'vms': 5.140625}
{'pid': 6356, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'CCXProcess.exe', 'vms': 0.5625}
{'pid': 6416, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'svchost.exe', 'vms': 3.2734375}
{'pid': 6436, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'sihost.exe', 'vms': 6.23046875}
{'pid': 6456, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ETDCtrl.exe', 'vms': 9.03125}
{'pid': 6468, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'svchost.exe', 'vms': 7.17578125}
{'pid': 6516, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'ZVMOUNT.EXE', 'vms': 1.8359375}
{'pid': 6540, 'username': None, 'name': 'svchost.exe', 'vms': 2.2109375}
{'pid': 6584, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'taskhostw.exe', 'vms': 5.73046875}
{'pid': 6644, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'chrome.exe', 'vms': 20.3046875}
{'pid': 6656, 'username': 'DESKTOP-HD08MFE\\Gauri', 'name': 'pycharm64.exe', 'vms': 865.6640625}
{'pid': 6772, 'username': None, 'name': 'PresentationFontCache.exe', 'vms': 25.08203125}
{'pid': 6816, 'username': None, 'name': 'svchost.exe', 'vms': 1.47265625}
