--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 0, 'vms': 0.05078125}
{'name': 'System', 'username': 'NT AUTHORITY\\SYSTEM', 'pid': 4, 'vms': 0.41796875}
{'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 104, 'vms': 1.92578125}
{'name': 'winlogon.exe', 'username': None, 'pid': 344, 'vms': 2.2890625}
{'name': 'smss.exe', 'username': None, 'pid': 372, 'vms': 0.4453125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 504, 'vms': 3.90625}
{'name': 'csrss.exe', 'username': None, 'pid': 552, 'vms': 1.8046875}
{'name': 'WUDFHost.exe', 'username': None, 'pid': 584, 'vms': 1.8125}
{'name': 'svchost.exe', 'username': None, 'pid': 660, 'vms': 6.82421875}
{'name': 'wininit.exe', 'username': None, 'pid': 664, 'vms': 1.2578125}
{'name': 'csrss.exe', 'username': None, 'pid': 680, 'vms': 2.29296875}
{'name': 'services.exe', 'username': None, 'pid': 736, 'vms': 4.94921875}
{'name': 'lsass.exe', 'username': None, 'pid': 780, 'vms': 6.2578125}
{'name': 'svchost.exe', 'username': None, 'pid': 892, 'vms': 0.91015625}
{'name': 'svchost.exe', 'username': None, 'pid': 916, 'vms': 10.86328125}
{'name': 'fontdrvhost.exe', 'username': None, 'pid': 936, 'vms': 1.83203125}
{'name': 'dasHost.exe', 'username': None, 'pid': 1056, 'vms': 2.94921875}
{'name': 'svchost.exe', 'username': None, 'pid': 1060, 'vms': 2.51171875}
{'name': 'svchost.exe', 'username': None, 'pid': 1136, 'vms': 4.21484375}
{'name': 'dwm.exe', 'username': None, 'pid': 1156, 'vms': 44.5390625}
{'name': 'svchost.exe', 'username': None, 'pid': 1220, 'vms': 1.88671875}
{'name': 'svchost.exe', 'username': None, 'pid': 1272, 'vms': 3.5078125}
{'name': 'svchost.exe', 'username': None, 'pid': 1320, 'vms': 2.4296875}
{'name': 'svchost.exe', 'username': None, 'pid': 1328, 'vms': 7.9921875}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1384, 'vms': 6.2109375}
{'name': 'svchost.exe', 'username': None, 'pid': 1440, 'vms': 5.8515625}
{'name': 'svchost.exe', 'username': None, 'pid': 1448, 'vms': 13.76171875}
{'name': 'svchost.exe', 'username': None, 'pid': 1508, 'vms': 2.06640625}
{'name': 'svchost.exe', 'username': None, 'pid': 1588, 'vms': 2.45703125}
{'name': 'RuntimeBroker.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1616, 'vms': 6.66796875}
{'name': 'Explorer.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1648, 'vms': 48.51171875}
{'name': 'svchost.exe', 'username': None, 'pid': 1672, 'vms': 1.640625}
{'name': 'svchost.exe', 'username': None, 'pid': 1740, 'vms': 2.08203125}
{'name': 'svchost.exe', 'username': None, 'pid': 1760, 'vms': 4.1484375}
{'name': 'svchost.exe', 'username': None, 'pid': 1860, 'vms': 2.14453125}
{'name': 'NPAV4.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1884, 'vms': 3.75}
{'name': 'svchost.exe', 'username': None, 'pid': 1940, 'vms': 1.5234375}
{'name': 'svchost.exe', 'username': None, 'pid': 1948, 'vms': 1.6875}
{'name': 'svchost.exe', 'username': None, 'pid': 1956, 'vms': 1.87890625}
{'name': 'SmartAudio.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 1984, 'vms': 54.9375}
{'name': 'NVDisplay.Container.exe', 'username': None, 'pid': 2068, 'vms': 2.546875}
{'name': 'svchost.exe', 'username': None, 'pid': 2080, 'vms': 1.90625}
{'name': 'cmd.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 2100, 'vms': 2.0859375}
{'name': 'svchost.exe', 'username': None, 'pid': 2128, 'vms': 2.5703125}
{'name': 'svchost.exe', 'username': None, 'pid': 2172, 'vms': 3.13671875}
{'name': 'svchost.exe', 'username': None, 'pid': 2184, 'vms': 2.1953125}
{'name': 'svchost.exe', 'username': None, 'pid': 2304, 'vms': 75.05859375}
{'name': 'svchost.exe', 'username': None, 'pid': 2312, 'vms': 1.23828125}
{'name': 'svchost.exe', 'username': None, 'pid': 2320, 'vms': 1.87890625}
{'name': 'Memory Compression', 'username': None, 'pid': 2384, 'vms': 0.81640625}
{'name': 'svchost.exe', 'username': None, 'pid': 2456, 'vms': 2.046875}
{'name': 'spoolsv.exe', 'username': None, 'pid': 2484, 'vms': 5.69140625}
{'name': 'igfxCUIService.exe', 'username': None, 'pid': 2492, 'vms': 1.6796875}
{'name': 'svchost.exe', 'username': None, 'pid': 2548, 'vms': 1.75390625}
{'name': 'svchost.exe', 'username': None, 'pid': 2556, 'vms': 1.67578125}
{'name': 'svchost.exe', 'username': None, 'pid': 2652, 'vms': 2.56640625}
{'name': 'svchost.exe', 'username': None, 'pid': 2712, 'vms': 1.92578125}
{'name': 'svchost.exe', 'username': None, 'pid': 2716, 'vms': 2.94140625}
{'name': 'svchost.exe', 'username': None, 'pid': 2736, 'vms': 1.65234375}
{'name': 'svchost.exe', 'username': None, 'pid': 2744, 'vms': 3.6875}
{'name': 'svchost.exe', 'username': None, 'pid': 2756, 'vms': 2.94921875}
{'name': 'svchost.exe', 'username': None, 'pid': 2876, 'vms': 1.89453125}
{'name': 'svchost.exe', 'username': None, 'pid': 2940, 'vms': 3.59765625}
{'name': 'svchost.exe', 'username': None, 'pid': 2960, 'vms': 27.98046875}
{'name': 'svchost.exe', 'username': None, 'pid': 3032, 'vms': 5.1875}
{'name': 'EMON.EXE', 'username': None, 'pid': 3044, 'vms': 7.09765625}
{'name': 'EMAILSCN.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3076, 'vms': 8.7734375}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3096, 'vms': 94.43359375}
{'name': 'svchost.exe', 'username': None, 'pid': 3128, 'vms': 2.234375}
{'name': 'svchost.exe', 'username': None, 'pid': 3188, 'vms': 7.35546875}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3376, 'vms': 71.97265625}
{'name': 'nvxdsync.exe', 'username': None, 'pid': 3468, 'vms': 11.9921875}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3480, 'vms': 34.86328125}
{'name': 'svchost.exe', 'username': None, 'pid': 3752, 'vms': 3.24609375}
{'name': 'armsvc.exe', 'username': None, 'pid': 3816, 'vms': 2.640625}
{'name': 'AdminService.exe', 'username': None, 'pid': 3824, 'vms': 3.015625}
{'name': 'AGMService.exe', 'username': None, 'pid': 3832, 'vms': 2.3671875}
{'name': 'APCONSVC.EXE', 'username': None, 'pid': 3844, 'vms': 7.83984375}
{'name': 'IntelCpHDCPSvc.exe', 'username': None, 'pid': 3852, 'vms': 1.34375}
{'name': 'AGSService.exe', 'username': None, 'pid': 3872, 'vms': 1.88671875}
{'name': 'CxUtilSvc.exe', 'username': None, 'pid': 3880, 'vms': 1.38671875}
{'name': 'CxAudMsg64.exe', 'username': None, 'pid': 3892, 'vms': 1.8046875}
{'name': 'svchost.exe', 'username': None, 'pid': 3928, 'vms': 3.78125}
{'name': 'svchost.exe', 'username': None, 'pid': 3940, 'vms': 8.23828125}
{'name': 'SearchUI.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3960, 'vms': 95.234375}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 3996, 'vms': 17.3828125}
{'name': 'svchost.exe', 'username': None, 'pid': 4124, 'vms': 2.453125}
{'name': 'svchost.exe', 'username': None, 'pid': 4132, 'vms': 1.65234375}
{'name': 'WEBPROT.EXE', 'username': None, 'pid': 4140, 'vms': 10.56640625}
{'name': 'SecurityHealthService.exe', 'username': None, 'pid': 4148, 'vms': 3.9296875}
{'name': 'svchost.exe', 'username': None, 'pid': 4156, 'vms': 27.234375}
{'name': 'svchost.exe', 'username': None, 'pid': 4164, 'vms': 1.52734375}
{'name': 'ETDService.exe', 'username': None, 'pid': 4172, 'vms': 1.06640625}
{'name': 'IpOverUsbSvc.exe', 'username': None, 'pid': 4188, 'vms': 7.74609375}
{'name': 'SASrv.exe', 'username': None, 'pid': 4196, 'vms': 1.33984375}
{'name': 'Ext2Srv.exe', 'username': None, 'pid': 4204, 'vms': 1.15625}
{'name': 'sqlwriter.exe', 'username': None, 'pid': 4224, 'vms': 1.58203125}
{'name': 'NPProt.exe', 'username': None, 'pid': 4236, 'vms': 0.984375}
{'name': 'SkypeBackgroundHost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4244, 'vms': 1.7734375}
{'name': 'svchost.exe', 'username': None, 'pid': 4248, 'vms': 1.6015625}
{'name': 'TeamViewer_Service.exe', 'username': None, 'pid': 4256, 'vms': 6.453125}
{'name': 'ETDCtrlHelper.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4276, 'vms': 2.8125}
{'name': 'ETDIntelligent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4284, 'vms': 2.171875}
{'name': 'svchost.exe', 'username': None, 'pid': 4292, 'vms': 1.875}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4364, 'vms': 44.47265625}
{'name': 'CoreSync.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4372, 'vms': 16.765625}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4496, 'vms': 18.30078125}
{'name': 'ZVMonNt.exe', 'username': None, 'pid': 4504, 'vms': 30.13671875}
{'name': 'svchost.exe', 'username': None, 'pid': 4512, 'vms': 4.29296875}
{'name': 'svchost.exe', 'username': None, 'pid': 4532, 'vms': 2.2109375}
{'name': 'svchost.exe', 'username': None, 'pid': 4536, 'vms': 1.2109375}
{'name': 'svchost.exe', 'username': None, 'pid': 4596, 'vms': 3.671875}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 4652, 'vms': 19.3984375}
{'name': 'svchost.exe', 'username': None, 'pid': 4720, 'vms': 2.26953125}
{'name': 'svchost.exe', 'username': None, 'pid': 4788, 'vms': 1.55859375}
{'name': 'IntelCpHeciSvc.exe', 'username': None, 'pid': 4828, 'vms': 1.33984375}
{'name': 'svchost.exe', 'username': None, 'pid': 4996, 'vms': 1.5859375}
{'name': 'figma_agent.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 5036, 'vms': 4.01171875}
{'name': 'ZVCMD64.EXE', 'username': None, 'pid': 5144, 'vms': 0.796875}
{'name': 'WmiPrvSE.exe', 'username': None, 'pid': 5152, 'vms': 3.79296875}
{'name': 'unsecapp.exe', 'username': None, 'pid': 5580, 'vms': 1.265625}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 5636, 'vms': 1.83984375}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6300, 'vms': 5.140625}
{'name': 'CCXProcess.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6356, 'vms': 0.5625}
{'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6416, 'vms': 3.17578125}
{'name': 'sihost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6436, 'vms': 5.640625}
{'name': 'ETDCtrl.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6456, 'vms': 8.44140625}
{'name': 'svchost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6468, 'vms': 6.94921875}
{'name': 'ZVMOUNT.EXE', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6516, 'vms': 1.8359375}
{'name': 'svchost.exe', 'username': None, 'pid': 6540, 'vms': 2.13671875}
{'name': 'taskhostw.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6584, 'vms': 5.08984375}
{'name': 'pycharm64.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6656, 'vms': 818.65625}
{'name': 'PresentationFontCache.exe', 'username': None, 'pid': 6772, 'vms': 25.08203125}
{'name': 'svchost.exe', 'username': None, 'pid': 6816, 'vms': 1.44921875}
{'name': 'ctfmon.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 6964, 'vms': 2.91796875}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7020, 'vms': 74.38671875}
{'name': 'svchost.exe', 'username': None, 'pid': 7040, 'vms': 2.98046875}
{'name': 'conhost.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7164, 'vms': 3.859375}
{'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'pid': 7212, 'vms': 29.35546875}
{'name': 'svchost.exe', 'username': None, 'pid': 7240, 'vms': 4.90625}
