--------------------------------------------------------------------------------
Process Logger:
--------------------------------------------------------------------------------

{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM', 'vms': 0.05078125}
{'pid': 2960, 'name': 'svchost.exe', 'username': None, 'vms': 36.03125}
{'pid': 3032, 'name': 'svchost.exe', 'username': None, 'vms': 5.38671875}
{'pid': 3044, 'name': 'EMON.EXE', 'username': None, 'vms': 8.921875}
{'pid': 3096, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 94.57421875}
{'pid': 3128, 'name': 'svchost.exe', 'username': None, 'vms': 2.17578125}
{'pid': 3188, 'name': 'svchost.exe', 'username': None, 'vms': 7.3203125}
{'pid': 3276, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 116.80078125}
{'pid': 3376, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 71.92578125}
{'pid': 3468, 'name': 'nvxdsync.exe', 'username': None, 'vms': 12.984375}
{'pid': 3480, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 35.88671875}
{'pid': 3752, 'name': 'svchost.exe', 'username': None, 'vms': 3.41015625}
{'pid': 3788, 'name': 'chrome.exe', 'username': 'DESKTOP-HD08MFE\\Gauri', 'vms': 38.95703125}
{'pid': 3816, 'name': 'armsvc.exe', 'username': None, 'vms': 2.69921875}
{'pid': 3824, 'name': 'AdminService.exe', 'username': None, 'vms': 4.62109375}
{'pid': 3832, 'name': 'AGMService.exe', 'username': None, 'vms': 2.453125}
{'pid': 3852, 'name': 'IntelCpHDCPSvc.exe', 'username': None, 'vms': 1.3515625}
{'pid': 3872, 'name': 'AGSService.exe', 'username': None, 'vms': 3.6875}
{'pid': 3880, 'name': 'CxUtilSvc.exe', 'username': None, 'vms': 1.40234375}
{'pid': 3892, 'name': 'CxAudMsg64.exe', 'username': None, 'vms': 1.86328125}
{'pid': 3928, 'name': 'svchost.exe', 'username': None, 'vms': 3.7265625}
{'pid': 3940, 'name': 'svchost.exe', 'username': None, 'vms': 8.89453125}
{'pid': 3960, 'name': 'ZVMonNt.exe', 'username': None, 'vms': 29.796875}
